gacc,abbrev,psa,fuel_model,n_stations,n_with_data,n_days,erc_mean,erc_p80,erc_p90,erc_p95,erc_p97,ic_mean,ic_p80,ic_p90,ic_p95,ic_p97,bi_mean,bi_p80,bi_p90,bi_p95,bi_p97,sc_mean,sc_p80,sc_p90,sc_p95,sc_p97,fm1_mean,fm1_p80,fm1_p90,fm1_p95,fm1_p97,fm10_mean,fm10_p80,fm10_p90,fm10_p95,fm10_p97,fm100_mean,fm100_p80,fm100_p90,fm100_p95,fm100_p97,fm1000_mean,fm1000_p80,fm1000_p90,fm1000_p95,fm1000_p97,kbdi_mean,kbdi_p80,kbdi_p90,kbdi_p95,kbdi_p97
Eastern Area Coordination Center,EACC,EA01,Z,7,7,7305,16.5,26.7,38.3,51.2,57.7,6.8,12.5,18.1,24.2,28.3,21.7,40.0,53.4,62.6,68.1,9.1,13.3,24.8,38.1,46.5,19.3,32.6,32.6,32.6,32.6,17.8,25.2,25.2,25.2,25.2,19.4,23.2,23.2,23.2,23.2,20.2,23.0,23.1,23.1,23.1,61.4,100.6,145.3,178.0,205.6
Eastern Area Coordination Center,EACC,EA02,Z,5,5,7305,19.6,28.5,42.3,55.2,60.4,8.0,13.9,19.4,24.8,28.2,26.8,44.8,56.2,64.7,70.7,12.1,18.5,30.0,41.6,49.3,17.1,28.6,32.6,32.6,32.6,16.5,23.0,25.2,25.2,25.2,18.7,22.1,23.0,23.2,23.2,19.6,22.0,22.7,22.9,23.1,114.2,184.6,269.1,318.2,337.2
Eastern Area Coordination Center,EACC,EA03,Z,5,5,7305,15.2,25.3,36.8,50.4,58.4,6.2,12.0,17.9,23.7,27.4,19.4,35.5,50.1,58.9,64.9,7.8,11.0,21.7,34.6,42.9,20.1,32.6,32.6,32.6,32.6,18.4,25.2,25.2,25.2,25.2,19.7,23.2,23.2,23.2,23.3,20.5,23.1,23.1,23.1,23.1,51.8,89.6,143.4,188.2,212.0
Eastern Area Coordination Center,EACC,EA04,Z,7,7,7305,28.3,52.8,60.4,65.5,68.1,7.9,15.9,21.5,26.5,29.5,26.9,48.7,55.8,61.5,64.7,5.2,9.3,11.4,13.2,14.6,19.3,32.6,32.6,32.6,32.6,18.0,25.2,25.2,25.2,25.2,19.7,23.2,23.2,23.2,23.3,20.5,23.0,23.1,23.1,23.1,65.4,120.6,166.9,223.8,256.3
Eastern Area Coordination Center,EACC,EA05,X,4,4,7305,25.0,43.5,55.3,63.5,67.5,7.2,12.3,18.3,24.0,27.6,53.0,96.5,125.6,146.2,157.6,27.3,50.3,72.1,91.3,104.7,17.0,28.5,32.6,32.6,32.6,16.7,24.1,25.2,25.2,25.2,19.0,22.5,23.2,23.2,23.3,20.0,22.4,23.0,23.1,23.4,113.8,192.2,301.2,404.5,413.5
Eastern Area Coordination Center,EACC,EA06,Z,4,4,7305,15.7,26.6,35.6,48.5,55.0,6.0,11.5,16.8,22.0,26.0,19.7,35.9,47.4,56.1,61.1,7.4,10.9,19.9,29.5,35.9,19.9,32.6,32.6,32.6,32.6,18.3,25.2,25.2,25.2,25.2,20.0,23.2,23.2,23.2,23.4,20.8,23.1,23.1,23.2,23.5,85.1,169.6,248.4,255.3,274.2
Eastern Area Coordination Center,EACC,EA07,Z,5,5,7305,16.9,26.6,36.6,49.9,55.9,6.4,11.8,17.0,21.8,25.3,20.5,35.9,45.5,52.8,57.1,7.5,11.5,19.4,26.8,31.1,18.1,32.6,32.6,32.6,32.6,17.4,25.2,25.2,25.2,25.2,19.5,23.1,23.2,23.2,23.4,20.4,22.8,23.1,23.1,23.3,77.9,155.9,216.0,254.3,283.6
Eastern Area Coordination Center,EACC,EA08,Z,2,2,7305,18.4,26.2,37.5,50.6,55.6,6.4,11.1,15.4,19.7,23.2,21.8,35.4,44.9,51.1,55.1,7.6,11.4,18.0,25.2,30.0,16.8,24.7,32.6,32.6,32.6,16.6,22.1,25.2,25.2,25.2,19.1,22.3,23.2,23.3,23.7,20.2,22.4,22.9,23.2,23.4,88.9,184.0,251.0,295.5,329.0
Eastern Area Coordination Center,EACC,EA09,Z,4,4,7305,23.0,31.1,45.5,55.8,60.5,9.5,15.8,21.2,25.4,28.6,31.8,48.8,58.7,67.3,73.3,14.9,23.5,36.2,49.3,58.5,14.4,19.4,27.1,32.6,32.6,15.0,18.9,22.9,25.2,25.2,18.0,20.4,22.1,23.0,23.2,19.1,20.8,21.8,22.5,22.7,175.6,286.2,378.5,437.9,465.8
Eastern Area Coordination Center,EACC,EA10,Z,2,2,7305,22.4,29.2,44.4,54.4,58.8,8.2,13.2,17.3,21.3,24.3,27.8,42.1,50.1,56.6,61.4,11.3,17.5,26.9,36.5,42.5,14.1,19.1,23.8,31.7,32.6,15.2,18.9,21.8,25.2,25.2,18.3,20.7,22.1,23.0,23.4,19.5,21.2,22.0,22.5,22.8,163.2,292.0,365.0,425.0,472.0
